Time,WHE,RSE,GRE,MHE,B1E,BME,CWE,DWE,EQE,FRE,HPE,OFE,UTE,WOE,B2E,CDE,DNE,EBE,FGE,HTE,OUE,TVE,UNE,time_num,Temp,Rel_Hum,Weather,Hour,Month
2012-04-01 07:00:00,918,43,2,873,0,352,0,0,41,106,36,62,9,0,58,0,30,0,0,4,0,37,138,1204010700,4.7,79.0,11.0,07,04
2012-04-01 08:00:00,493,43,2,448,0,7,0,0,40,106,38,15,9,0,7,0,15,0,130,5,0,37,39,1204010800,5.3,75.0,11.0,08,04
2012-04-01 09:00:00,644,41,4,599,0,7,0,0,41,106,38,76,9,0,7,0,4,0,124,5,0,38,144,1204010900,5.9,75.0,11.0,09,04
2012-04-01 10:00:00,351,43,0,308,0,6,0,0,40,106,38,18,9,0,8,0,0,0,1,5,0,38,39,1204011000,7.0,68.0,11.0,10,04
2012-04-01 11:00:00,502,43,4,455,0,7,0,0,42,104,37,61,9,1,8,0,0,0,7,5,0,38,136,1204011100,7.8,61.0,12.0,11,04
2012-04-01 12:00:00,347,43,2,302,0,6,0,0,40,104,42,19,9,0,7,0,0,0,0,5,0,38,32,1204011200,9.1,61.0,12.0,12,04
2012-04-01 13:00:00,315,43,4,268,0,7,0,0,40,105,1,19,9,0,8,0,1,0,0,5,0,38,35,1204011300,9.5,53.0,12.0,13,04
2012-04-01 14:00:00,2134,41,2,2091,0,7,0,0,39,113,1806,15,9,0,7,0,0,0,0,5,0,38,52,1204011400,9.8,46.0,12.0,14,04
2012-04-01 15:00:00,2696,169,0,2527,0,327,0,0,40,114,1802,15,9,0,8,0,1,0,0,4,0,38,169,1204011500,10.5,49.0,12.0,15,04
2012-04-01 16:00:00,5693,498,0,5195,0,6,0,0,39,113,1814,14,9,0,7,0,0,0,10,5,0,37,3141,1204011600,9.5,60.0,11.0,16,04
2012-04-01 17:00:00,2202,150,0,2052,0,7,0,0,40,113,1775,15,9,0,7,0,0,0,0,5,0,38,43,1204011700,8.7,65.0,11.0,17,04
2012-04-01 18:00:00,2316,294,2,2020,0,7,0,0,45,111,1753,18,9,0,8,0,0,0,0,5,0,37,27,1204011800,8.5,59.0,10.0,18,04
2012-04-01 19:00:00,525,226,4,295,0,7,0,0,40,103,37,19,9,0,8,0,0,0,0,5,0,37,30,1204011900,8.4,62.0,10.0,19,04
2012-04-01 20:00:00,648,287,2,359,0,7,0,0,40,104,37,61,9,0,8,0,0,0,1,20,0,38,34,1204012000,7.9,69.0,10.0,20,04
2012-04-01 21:00:00,2184,146,2,2036,0,7,0,0,40,111,1758,19,9,0,7,0,0,0,1,5,0,37,42,1204012100,7.2,76.0,11.0,21,04
2012-04-01 22:00:00,2490,706,2,1782,0,410,860,0,40,104,37,20,9,0,66,0,0,0,1,3,2,38,192,1204012200,6.6,78.0,11.0,22,04
2012-04-01 23:00:00,1160,189,4,967,0,436,0,0,41,104,36,61,9,0,56,0,0,0,0,4,0,37,183,1204012300,6.8,79.0,10.0,23,04
