Time,Temp,Rel_Hum,Weather,WHE,RSE,GRE,MHE,B1E,BME,CWE,DWE,EQE,FRE,HPE,OFE,UTE,WOE,B2E,CDE,DNE,EBE,FGE,HTE,OUE,TVE,UNE,Hour,Month,time_num
2012-04-01 07:00:00,4.7,79.0,11.0,918,43,2,873,0,352,0,0,41,106,36,62,9,0,58,0,30,0,0,4,0,37,138,07,04,1204010700
2012-04-01 08:00:00,5.3,75.0,11.0,493,43,2,448,0,7,0,0,40,106,38,15,9,0,7,0,15,0,130,5,0,37,39,08,04,1204010800
2012-04-01 09:00:00,5.9,75.0,11.0,644,41,4,599,0,7,0,0,41,106,38,76,9,0,7,0,4,0,124,5,0,38,144,09,04,1204010900
2012-04-01 10:00:00,7.0,68.0,11.0,351,43,0,308,0,6,0,0,40,106,38,18,9,0,8,0,0,0,1,5,0,38,39,10,04,1204011000
2012-04-01 11:00:00,7.8,61.0,12.0,502,43,4,455,0,7,0,0,42,104,37,61,9,1,8,0,0,0,7,5,0,38,136,11,04,1204011100
2012-04-01 12:00:00,9.1,61.0,12.0,347,43,2,302,0,6,0,0,40,104,42,19,9,0,7,0,0,0,0,5,0,38,32,12,04,1204011200
2012-04-01 13:00:00,9.5,53.0,12.0,315,43,4,268,0,7,0,0,40,105,1,19,9,0,8,0,1,0,0,5,0,38,35,13,04,1204011300
2012-04-01 14:00:00,9.8,46.0,12.0,2134,41,2,2091,0,7,0,0,39,113,1806,15,9,0,7,0,0,0,0,5,0,38,52,14,04,1204011400
2012-04-01 15:00:00,10.5,49.0,12.0,2696,169,0,2527,0,327,0,0,40,114,1802,15,9,0,8,0,1,0,0,4,0,38,169,15,04,1204011500
2012-04-01 16:00:00,9.5,60.0,11.0,5693,498,0,5195,0,6,0,0,39,113,1814,14,9,0,7,0,0,0,10,5,0,37,3141,16,04,1204011600
2012-04-01 17:00:00,8.7,65.0,11.0,2202,150,0,2052,0,7,0,0,40,113,1775,15,9,0,7,0,0,0,0,5,0,38,43,17,04,1204011700
2012-04-01 18:00:00,8.5,59.0,10.0,2316,294,2,2020,0,7,0,0,45,111,1753,18,9,0,8,0,0,0,0,5,0,37,27,18,04,1204011800
2012-04-01 19:00:00,8.4,62.0,10.0,525,226,4,295,0,7,0,0,40,103,37,19,9,0,8,0,0,0,0,5,0,37,30,19,04,1204011900
